DATA,RESOLUÇÃO,CTT,,DEMANDA,ESCRITÓRIO,ATIVO/RECEPTIVO,DIRETOR,BANCO,COD,  RESPONSAVEL,SITUAÇÃO,0,,,,,,,,,
30/12/2024,02/01/2025,185162,2,valores,TICKET,RECEPTIVO,ADRIANO,SANTANDER,316.5,VICTOR ADRIANO,RESOLVIDO,SEM DESCONTO,,,MARIA BRUNA,15,,,,,
30/12/2024,02/01/2025,219908,1,valores,TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,102,NUNO,RESOLVIDO,SEM DESCONTO,,,AMANDA SANTANA,14,,,,,
30/12/2024,02/01/2025,227307,1,"R$ 4.184,40",TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,101,ALINE,RESOLVIDO,SEM DESCONTO,,,BRUNO MARIANO,0,,,,,
30/12/2024,02/01/2025,218230,5,"R$ 8.000,00",AUDITORIA,RECEPTIVO,LEANDRO,BRADESCO,213.2,YURI,RESOLVIDO,SEM DESCONTO,,,EDIANE,15,,,,,
30/12/2024,02/01/2025,227433,2,VALORES,TICKET,RECEPTIVO,LEANDRO,PANAMERICANO,512,VICTOR ADRIANO,RESOLVIDO,SEM DESCONTO,,,FABIANA,16,,,,,
02/01/2025,02/01/2025,161784,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,SANTANDER,BANCO,ALINE,RESOLVIDO,,,,ITAYNNARA,8,,,,,
02/01/2025,02/01/2025,128998,1,50% A 80%,"ITAJAÍ, SC",ATIVO,ADRIANO,RENNER,05132843100,,RESOLVIDO,QUITADO EMPRESA,,,VITORIA,0,,,,,
02/01/2025,02/01/2025,217554,3,"R$ 14.000,00",TICKET,RECEPTIVO,LEANDRO,BRADESCO,259,ELIZABETE,RESOLVIDO,SEM DESCONTO,,,SABRINA,0,,,,,
02/01/2025,02/01/2025,215758,1,RECEBEU BOLETO,VANESSA PASSO FUNDO,RECEPTIVO,LEANDRO,BV FINANCEIRA,104,MONYZA,RESOLVIDO,APROVADO,,,JULIA,14,,,,,
02/01/2025,02/01/2025,194961,2,"R$ 8.000,00",VANESSA PASSO FUNDO,RECEPTIVO,LEANDRO,PANAMERICANO,504,MONYZA,RESOLVIDO,APROVADO,,,KATIA,9,,,,,
02/01/2025,02/01/2025,208434,1,VALORES,TICKET,RECEPTIVO,LEANDRO,SANTANDER,310,ALINE,RESOLVIDO,SEM DESCONTO,,,ALINE SALVADOR,10,,,,,
02/01/2025,02/01/2025,200368,2,"CLIENTE DISPÕE DO VALOR DE R$7.418,00",BRUNA NOVO HAMBURGO,RECEPTIVO,ADRIANO,RENNER,4012,KATIA,RESOLVIDO,APROVADO,,,VICTOR ADRIANO,5,,,,,
02/01/2025,02/01/2025,225394,2,VERIFICAR PARCELAMENTO.,TICKET,RECEPTIVO,ADRIANO,ITAÚ,404,,RESOLVIDO,SEM DESCONTO,,,JULIANA,0,,,,,
16/12/2024,02/01/2025,207070,1,valores,VANESSA PASSO FUNDO,RECEPTIVO,ADRIANO,RENNER,BANCO,KATIA,RESOLVIDO,SEM DESCONTO,,,GREICY,2,,,,,
17/12/2024,02/01/2025,196528,2,VALORES,,RECEPTIVO,LEANDRO,PANAMERICANO,BANCO,KATIA,RESOLVIDO,APROVADO,,,SOFIA,0,,,,,
30/12/2024,02/01/2025,182160,1,"R$ 7.000,00",OUVIDORIA,RECEPTIVO,LEANDRO,BRADESCO,BANCO,MATHEUS,RESOLVIDO,,,,TOTAL,148,,,,,
02/01/2025,02/01/2025,178432,2,VALORES,MONITORAMENTO,ATIVO,LEANDRO,BV FINANCEIRA,120,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,126417,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,PANAMERICANO,516,ISABELLA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,219718,1,50% A 80%,"JARAGUÁ DO SUL, SC",ATIVO,ADRIANO,BV FINANCEIRA,102,FABIANA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
02/01/2025,02/01/2025,206769,1,50% A 80%,"JOINVILLE, SC",ATIVO,ADRIANO,PANAMERICANO,BANCO,KATIA,RESOLVIDO,REFINANCIAMENTO,,,,,,,,,
02/01/2025,02/01/2025,194178,1,50% A 80%,"VOLTA REDONDA, RJ",ATIVO,LEANDRO,BV FINANCEIRA,307,FABIANA,RESOLVIDO,EM ACORDO,,,,,,,,,
02/01/2025,02/01/2025,214060,1,50% A 80%,"PASSO FUNDO, RS",ATIVO,ADRIANO,PANAMERICANO,510,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,221030,1,50% A 80%,"PASSO FUNDO, RS",ATIVO,ADRIANO,BV FINANCEIRA,105,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,02/01/2025,214546,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,BV FINANCEIRA,BANCO,FABIANA,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,02/01/2025,218429,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,PANAMERICANO,512,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,149956,1,50% A 80%,"CAMPO GRANDE, MS",ATIVO,LEANDRO,PANAMERICANO,535,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,208897,1,50% A 80%,"CAMPO GRANDE, MS",ATIVO,LEANDRO,ITAÚ,431,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,196396,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,505,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,208991,2,50% A 80%,"VALPARAISO, GO",ATIVO,LEANDRO,PANAMERICANO,510,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,218251,1,50% A 80%,"VALPARAISO, GO",ATIVO,LEANDRO,PANAMERICANO,BANCO,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,206171,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,PANAMERICANO,BANCO,VITORIA,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,02/01/2025,207068,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,PANAMERICANO,512,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,218451,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,PANAMERICANO,512,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,218791,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,PANAMERICANO,BANCO,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,213553,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,512,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,166738,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,ITAÚ,404,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,02/01/2025,187816,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,02/01/2025,195975,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,ITAÚ,406,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,201250,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,512,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,201824,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,ITAÚ,cartão/QQ,LETICIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,205148,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,BV FINANCEIRA,BANCO,FABIANA,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,02/01/2025,207670,2,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,502.2,VITORIA,RESOLVIDO,,,,,,,,,,
02/01/2025,02/01/2025,210910,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,501,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,209486,1,RECEBEU PROPOSTA,AF JURIDICO,RECEPTIVO,ADRIANO,SANTANDER,308.1.,MONYZA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
02/01/2025,02/01/2025,219316,1,REVALIDAR BOLETO,JONATAN NOVO HAMBURGO,RECEPTIVO,LEANDRO,SANTANDER,F,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
27/12/2024,30/12/2024,210131,1,"R$ 15.000,00",BRUNA NOVO HAMBURGO,RECEPTIVO,ADRIANO,BV FINANCEIRA,106,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,194167,1,revalidar boleto,ELLANY ANAPOLIS,RECEPTIVO,LEANDRO,PANAMERICANO,514,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,193991,1,RECEBEU PROPOSTA,VANESSA PASSO FUNDO,RECEPTIVO,LEANDRO,BV FINANCEIRA,101,MONYZA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,02/01/2025,220265,1,VERIFICAR POSSIBILIDADE DE REFINANCIAMENTO,BRUNA NOVO HAMBURGO,RECEPTIVO,ADRIANO,BV FINANCEIRA,105,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,02/01/2025,228702,3,VALORES,RECEPTIVO,RECEPTIVO,LEANDRO,PANAMERICANO,514,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
30/12/2024,03/01/2025,193228,3,"R$ 18.000,00",TICKET,RECEPTIVO,ADRIANO,PANAMERICANO,517.1,NUNO,RESOLVIDO,AGUARDANDO BOLETO,,,,,,,,,
02/01/2025,03/01/2025,176088,2,VALORES,RECEPTIVO,RECEPTIVO,LEANDRO,SANTANDER,314.1,KATIA,RESOLVIDO,EM ACORDO,,,,,,,,,
02/01/2025,03/01/2025,179828,1,"R$ 11.000,00",ANDERSON VITORIA,ATIVO,LEANDRO,BV FINANCEIRA,108,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,202329,,"R$ 11.000,00",RECEPTIVO,ATIVO,LEANDRO,BV FINANCEIRA,139,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,219550,2,50% Á 80%,NEL BELÉM,ATIVO,LEANDRO,BRADESCO,208,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,47481,1,50% Á 80%,JANNE SÃO LUIS,ATIVO,FECHADO,RCI,BANCO,MONYZA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,03/01/2025,220699,1,50% Á 80%,FABIO NOVO HAMBURGO,ATIVO,ADRIANO,BV FINANCEIRA,106,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,174600,2,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BRADESCO,218,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,187054,2,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,BRADESCO,EMPRESTIMO,FABIANA,RESOLVIDO,AGÊNCIA,,,,,,,,,
02/01/2025,03/01/2025,208919,1,50% A 80%,"TERESINA, JOQUEI, PI",ATIVO,LEANDRO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,187441,1,50% A 80%,"JUIZ DE FORA, MG",ATIVO,LEANDRO,BV FINANCEIRA,120,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,203111,1,50% A 80%,"JUIZ DE FORA, MG",ATIVO,LEANDRO,SANTANDER,EMPRESTIMO,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,203368,1,50% A 80%,"JOINVILLE, SC",ATIVO,ADRIANO,PANAMERICANO,512,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,208601,1,50% A 80%,"PORTO ALEGRE, CENTRO HISTÓRICO, RS",ATIVO,ADRIANO,SANTANDER,BANCO,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,217654,1,50% A 80%,"PASSO FUNDO, RS",ATIVO,ADRIANO,PANAMERICANO,512,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,215317,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,PANAMERICANO,512,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,215850,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,BV FINANCEIRA,102,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,219886,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,ITAÚ,banco,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,216641,1,50% A 80%,"BELO HORIZONTE, PHI, MG",ATIVO,LEANDRO,PANAMERICANO,banco,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,178432,2,50% A 80%,"CAMPO GRANDE, MS",ATIVO,LEANDRO,BV FINANCEIRA,120,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,200931,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,PANAMERICANO,BANCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,203658,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,PANAMERICANO,520,KATIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,209305,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,211551,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,PANAMERICANO,512,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,212643,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,PANAMERICANO,524,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,217982,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,204471,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,PANAMERICANO,510,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,208891,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,BV FINANCEIRA,102,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,167066,2,50% A 80%,"MOSSORÓ, RN",ATIVO,LEANDRO,PANAMERICANO,512,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,111878,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,PANAMERICANO,536,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,154135,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,BANCO,FABIANA,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,03/01/2025,174326,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,104,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,186349,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,106,FABIANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,03/01/2025,186413,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,105,FABIANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,03/01/2025,189808,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,105,FABIANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,03/01/2025,191539,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,106,FABIANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,03/01/2025,193109,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,108.1,FABIANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,03/01/2025,198215,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,101.1,FABIANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,03/01/2025,199250,1,"R$ 6.000,00","NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,199922,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,502,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,202911,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,BANCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,204169,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,504,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,206639,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,512,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,207342,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,PANAMERICANO,510,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,201253,1,"R$ 12.000,00",SAC,RECEPTIVO,LEANDRO,SANTANDER,301,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,03/01/2025,169688,1,"R$ 10.000,00",RECEPTIVO,RECEPTIVO,LEANDRO,PANAMERICANO,,VITORIA,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,03/01/2025,173390,3,valores,TICKET,RECEPTIVO,ADRIANO,PANAMERICANO,,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,222808,1,"14.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,301,ALANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,212050,2,VALORES,TICKET,RECEPTIVO,ADRIANO,SANTANDER,308.1,ELIZABETE,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,217438,1,"R$ 3.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,"310,2",ELIZABETE,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,194288,2,"R$ 15.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,310,ELIZABETE,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,216009,1,VERIFICAR POSSIBILIDADE DE REFINANCIAMENTO,BRUNA NOVO HAMBURGO,RECEPTIVO,ADRIANO,PANAMERICANO,,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,03/01/2025,194569,2,VALORES,RECEPTIVO,RECEPTIVO,ADRIANO,SANTANDER,316,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,220857,1,RECEBEU BOLETO,ALINE GOIANIA,RECEPTIVO,LEANDRO,HYUNDAI,8003,MONYZA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
03/01/2025,03/01/2025,198663,1,valores,RECEPTIVO,RECEPTIVO,ADRIANO,SANTANDER,301,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,201284,1,VALORES,RECEPTIVO,RECEPTIVO,ADRIANO,BV FINANCEIRA,105,ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,214017,1,valores,AVULSO,RECEPTIVO,ADRIANO,SANTANDER,312.1,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,212186,2,VALORES,RECEPTIVO,RECEPTIVO,ADRIANO,PANAMERICANO,536,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,03/01/2025,228147,4,valores,TICKET,RECEPTIVO,LEANDRO,SANTANDER,313.1,ELIZABETE,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,03/01/2025,207548,1,"R$ 40.000,00",RECEPTIVO,RECEPTIVO,ADRIANO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,03/01/2025,201813,1,RECEBEU BOLETO,PHILLIPE SANTA LUZIA,RECEPTIVO,LEANDRO,BV FINANCEIRA,104,MONYZA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
16/12/2024,06/01/2025,202605,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,PSA F.,781,ITAYNNARA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,06/01/2025,155890,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,OMNI,,MONYZA,RESOLVIDO,APREENDIDO,,,,,,,,,
02/01/2025,06/01/2025,213253,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,ITAÚ,404,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,06/01/2025,220758,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,BV FINANCEIRA,108,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,03/01/2025,215902,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,PANAMERICANO,510,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,06/01/2025,219945,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,BANCO,AMANDA SANTANA,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,06/01/2025,225002,3,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,BRADESCO,BANCO,FABIANA,RESOLVIDO,AGÊNCIA,,,,,,,,,
02/01/2025,03/01/2025,199662,2,"R$ 20.000,00",MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,337.1,ALANA,RESOLVIDO,,,,,,,,,,
03/01/2025,03/01/2025,215884,1,VALORES,RECEPTIVO,RECEPTIVO,LEANDRO,SANTANDER,328,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
